date,MeanTemp,MaxDewPt,MinDewPt,MaxPressure,MinPressure
2016-05-04,34,12.0,-2.0,1009.0,1000.0
2016-05-05,31,13.0,0.0,1008.0,1001.0
2016-05-06,28,16.0,6.0,1011.0,1003.0
2016-05-07,30,17.0,9.0,1011.0,1004.0
2016-05-08,34,14.0,6.0,1010.0,1002.0
2016-05-09,34,12.0,6.0,1010.0,1002.0
2016-05-10,34,16.0,7.0,1008.0,1000.0
2016-05-11,32,18.0,13.0,1010.0,1002.0
2016-05-12,34,22.0,10.0,1011.0,1001.0
2016-05-13,34,20.0,10.0,1007.0,998.0
2016-05-14,35,16.0,7.0,1006.0,998.0
2016-05-15,36,19.0,10.0,1007.0,1000.0
2016-05-16,36,16.0,9.0,1008.0,1001.0
2016-05-17,35,19.0,7.0,1006.0,999.0
2016-05-18,36,16.0,10.0,1010.0,995.0
2016-05-19,38,17.0,6.0,1002.0,994.0
2016-05-20,38,13.0,-2.0,1002.0,994.0
2016-05-21,38,18.0,0.0,1001.0,992.0
2016-05-22,38,17.0,3.0,1001.0,992.0
2016-05-23,34,21.0,8.0,1003.0,995.0
2016-05-24,32,21.0,15.0,1006.0,994.0
2016-05-25,34,20.0,12.0,1005.0,996.0
2016-05-26,34,20.0,15.0,1003.0,994.0
2016-05-27,36,19.0,13.0,1004.0,997.0
2016-05-28,35,18.0,7.0,1006.0,998.0
2016-05-29,33,20.0,13.0,1009.0,997.0
2016-05-30,32,18.0,13.0,1005.0,996.0
2016-05-31,34,20.0,8.0,1007.0,999.0
2016-06-01,35,20.0,10.0,1008.0,999.0
2016-06-02,36,18.0,8.0,1009.0,999.0
2016-06-03,38,18.0,9.0,1009.0,999.0
2016-06-04,38,18.0,7.0,1008.0,999.0
2016-06-05,38,18.0,2.0,1007.0,999.0
2016-06-06,36,16.0,0.0,1007.0,998.0
2016-06-07,38,21.0,5.0,1007.0,997.0
2016-06-08,38,22.0,2.0,1006.0,996.0
2016-06-09,36,19.0,8.0,1004.0,994.0
2016-06-10,37,17.0,6.0,1003.0,994.0
2016-06-11,34,21.0,12.0,1003.0,994.0
2016-06-12,34,22.0,13.0,1004.0,994.0
2016-06-13,35,21.0,15.0,1004.0,996.0
2016-06-14,34,26.0,14.0,1004.0,995.0
2016-06-15,34,24.0,16.0,1004.0,994.0
2016-06-16,35,22.0,15.0,1002.0,993.0
2016-06-17,36,20.0,13.0,1003.0,994.0
2016-06-18,36,21.0,13.0,1003.0,994.0
2016-06-19,35,22.0,15.0,1004.0,995.0
2016-06-20,35,23.0,16.0,1005.0,996.0
2016-06-21,34,23.0,17.0,1004.0,994.0
2016-06-22,32,25.0,20.0,1003.0,999.0
2016-06-23,34,25.0,20.0,1006.0,998.0
2016-06-24,34,25.0,19.0,1007.0,996.0
2016-06-25,34,23.0,18.0,1004.0,995.0
2016-06-26,34,23.0,20.0,1005.0,998.0
2016-06-27,34,25.0,18.0,1005.0,995.0
2016-06-28,30,26.0,21.0,1003.0,997.0
2016-06-29,32,26.0,23.0,1005.0,998.0
2016-06-30,36,26.0,21.0,1005.0,996.0
2016-07-01,28,26.0,19.0,1003.0,994.0
2016-07-02,26,27.0,23.0,1003.0,994.0
2016-07-03,28,26.0,23.0,1001.0,997.0
2016-07-04,30,26.0,24.0,1007.0,996.0
2016-07-05,32,26.0,21.0,1001.0,994.0
2016-07-06,34,26.0,22.0,1001.0,993.0
2016-07-07,33,26.0,22.0,1002.0,994.0
2016-07-08,33,26.0,21.0,1002.0,995.0
2016-07-09,32,25.0,21.0,1002.0,994.0
2016-07-10,31,25.0,22.0,1000.0,994.0
2016-07-11,29,26.0,21.0,1000.0,993.0
2016-07-12,28,25.0,22.0,1001.0,995.0
2016-07-13,30,27.0,23.0,1003.0,996.0
2016-07-14,30,26.0,24.0,1002.0,996.0
2016-07-15,26,26.0,25.0,1003.0,997.0
2016-07-16,26,27.0,15.0,1003.0,999.0
2016-07-17,27,27.0,24.0,1005.0,998.0
2016-07-18,28,26.0,23.0,1006.0,1001.0
2016-07-19,30,26.0,23.0,1006.0,999.0
2016-07-20,30,25.0,23.0,1006.0,999.0
2016-07-21,32,24.0,21.0,1006.0,998.0
2016-07-22,32,23.0,20.0,1005.0,997.0
2016-07-23,32,23.0,21.0,1004.0,997.0
2016-07-24,30,24.0,20.0,1005.0,999.0
2016-07-25,30,26.0,22.0,1006.0,1000.0
2016-07-26,30,25.0,22.0,1006.0,1001.0
2016-07-27,27,25.0,23.0,1007.0,1000.0
2016-07-28,28,27.0,23.0,1007.0,1002.0
2016-07-29,27,26.0,24.0,1006.0,1001.0
2016-07-30,28,27.0,24.0,1005.0,999.0
2016-07-31,28,26.0,25.0,1005.0,999.0
2016-08-01,28,26.0,24.0,1005.0,999.0
2016-08-02,26,26.0,24.0,1003.0,997.0
2016-08-03,28,27.0,24.0,1001.0,995.0
2016-08-04,27,28.0,24.0,1002.0,995.0
2016-08-05,28,27.0,25.0,1002.0,996.0
2016-08-06,30,27.0,25.0,1003.0,996.0
2016-08-07,29,27.0,16.0,1003.0,997.0
2016-08-08,28,27.0,25.0,1004.0,997.0
2016-08-09,28,27.0,25.0,1003.0,997.0
2016-08-10,26,27.0,25.0,1002.0,995.0
2016-08-11,25,26.0,6.0,1003.0,998.0
2016-08-12,26,26.0,24.0,1006.0,1000.0
2016-08-13,28,26.0,23.0,1010.0,1001.0
2016-08-14,28,26.0,24.0,1006.0,1000.0
2016-08-15,28,25.0,24.0,1005.0,999.0
2016-08-16,27,25.0,22.0,1004.0,999.0
2016-08-17,28,24.0,21.0,1003.0,997.0
2016-08-18,26,25.0,22.0,1004.0,997.0
2016-08-19,28,25.0,22.0,1005.0,999.0
2016-08-20,28,26.0,23.0,1004.0,997.0
2016-08-21,24,26.0,23.0,1002.0,996.0
2016-08-22,26,24.0,22.0,1003.0,998.0
2016-08-23,26,26.0,24.0,1005.0,1000.0
2016-08-24,26,26.0,23.0,1013.0,1000.0
2016-08-25,27,26.0,24.0,1005.0,999.0
2016-08-26,31,26.0,23.0,1008.0,1002.0
2016-08-27,28,26.0,23.0,1009.0,1003.0
2016-08-28,26,27.0,23.0,1010.0,1003.0
2016-08-29,28,27.0,23.0,1010.0,1003.0
2016-08-30,28,26.0,24.0,1007.0,1000.0
2016-08-31,30,27.0,24.0,1006.0,1000.0
2016-09-01,26,27.0,22.0,1006.0,999.0
2016-09-02,28,26.0,22.0,1007.0,1001.0
2016-09-03,28,25.0,20.0,1006.0,1000.0
2016-09-04,27,25.0,21.0,1006.0,1000.0
2016-09-05,28,23.0,16.0,1009.0,1003.0
2016-09-06,28,22.0,20.0,1009.0,1003.0
2016-09-07,28,22.0,19.0,1010.0,1004.0
2016-09-08,29,22.0,20.0,1009.0,1003.0
2016-09-09,28,22.0,21.0,1010.0,1005.0
2016-09-10,28,22.0,18.0,1012.0,1004.0
2016-09-11,29,21.0,19.0,1011.0,1004.0
2016-09-12,28,21.0,19.0,1009.0,1003.0
2016-09-13,30,21.0,18.0,1009.0,1003.0
2016-09-14,28,22.0,19.0,1011.0,1004.0
2016-09-15,30,23.0,19.0,1011.0,1004.0
2016-09-16,30,24.0,18.0,1010.0,1002.0
2016-09-17,30,23.0,16.0,1010.0,1001.0
2016-09-18,30,22.0,14.0,1008.0,1000.0
2016-09-19,30,23.0,17.0,1009.0,1002.0
2016-09-20,32,23.0,16.0,1008.0,1001.0
